match_id,date,team,goals,xg,goals_c,xg_c
987813,19th Jan 2019,ARS,2,1.54,0,0.92
987813,19th Jan 2019,CHE,0,0.92,2,1.54
987814,20th Jan 2019,FUL,1,0.93,2,1.75
987814,20th Jan 2019,TOT,2,1.75,1,0.93
987815,20th Jan 2019,HUD,0,0.90,3,1.97
987815,20th Jan 2019,MCI,3,1.97,0,0.90
987816,19th Jan 2019,CRY,3,0.67,4,2.59
987816,19th Jan 2019,LIV,4,2.59,3,0.67
987817,19th Jan 2019,BHA,1,0.76,2,2.45
987817,19th Jan 2019,MUN,2,2.45,1,0.76
987818,19th Jan 2019,CAR,0,0.31,3,2.04
987818,19th Jan 2019,NEW,3,2.04,0,0.31
987819,19th Jan 2019,EVE,1,0.94,2,0.72
987819,19th Jan 2019,SOU,2,0.72,1,0.94
987820,19th Jan 2019,BUR,0,1.85,0,1.31
987820,19th Jan 2019,WAT,0,1.31,0,1.85
987821,19th Jan 2019,LEI,3,1.87,4,1.95
987821,19th Jan 2019,WOL,4,1.95,3,1.87
987822,30th Jan 2019,BOU,4,2.00,0,0.72
987822,30th Jan 2019,CHE,0,0.72,4,2.00
987823,29th Jan 2019,ARS,2,2.57,1,0.81
987823,29th Jan 2019,CAR,1,0.81,2,2.57
987824,29th Jan 2019,BHA,2,2.30,4,3.64
987824,29th Jan 2019,FUL,4,3.64,2,2.30
987825,29th Jan 2019,EVE,1,1.07,0,0.71
987825,29th Jan 2019,HUD,0,0.71,1,1.07
987826,29th Jan 2019,BUR,2,0.77,2,3.11
987826,29th Jan 2019,MUN,2,3.11,2,0.77
987827,29th Jan 2019,WHU,0,0.16,3,2.24
987827,29th Jan 2019,WOL,3,2.24,0,0.16
987828,30th Jan 2019,LEI,1,1.12,1,0.58
987828,30th Jan 2019,LIV,1,0.58,1,1.12
987829,29th Jan 2019,MCI,1,1.39,2,1.10
987829,29th Jan 2019,NEW,2,1.10,1,1.39
987830,30th Jan 2019,CRY,1,1.08,1,1.23
