match_id,nick_name,full_name,pos,team,clearences,blocks,interceptions,recoveries,tackles_won
2292817,Redmond,Nathan Redmond,Midfielder,SOU,0,0,0,0,0
2292817,Stephens,Jack Stephens,Defender,SOU,2,1,1,0,1
2292817,Armstrong (Stuart),Stuart Armstrong,Midfielder,SOU,0,0,0,3,1
2292817,Ward-Prowse,James Ward-Prowse,Midfielder,SOU,0,0,1,1,1
2292817,Armstrong (Adam),Adam Armstrong,Forward,SOU,0,0,0,0,0
2292817,Walker-Peters,Kyle Walker-Peters,Defender,SOU,4,1,1,2,0
2292817,Bednarek,Jan Bednarek,Defender,SOU,3,0,2,7,0
2292817,Aribo,Joe Aribo,Midfielder,SOU,1,0,1,2,1
2292817,Valery,Yann Valery,Defender,SOU,3,0,0,2,0
2292817,Diallo,Ibrahima Diallo,Midfielder,SOU,0,0,1,1,0
2292817,Perraud,Romain Perraud,Defender,SOU,0,0,0,0,0
2292817,Djenepo,Moussa Djenepo,Midfielder,SOU,1,1,1,8,0
2292817,Salisu,Mohammed Salisu,Defender,SOU,3,0,3,7,1
2292817,Bazunu,Gavin Bazunu,Goalkeeper,SOU,0,0,0,12,0
2292817,Lavia,Romeo Lavia,Midfielder,SOU,1,0,1,13,1
2292817,Lloris,Hugo Lloris,Goalkeeper,TOT,0,0,0,8,0
2292817,Perisic,Ivan Perisic,Defender,TOT,1,0,0,0,1
2292817,Kane,Harry Kane,Forward,TOT,2,0,0,3,0
2292817,Son,Heung-Min Son,Midfielder,TOT,0,0,0,4,2
2292817,Doherty,Matt Doherty,Defender,TOT,0,1,0,0,0
2292817,Dier,Eric Dier,Defender,TOT,1,0,1,4,0
2292817,Lucas Moura,Lucas Rodrigues Moura da Silva,Midfielder,TOT,0,0,0,0,1
2292817,Davies (Ben),Ben Davies,Defender,TOT,3,0,0,3,1
2292817,Højbjerg,Pierre-Emile Højbjerg,Midfielder,TOT,2,0,0,6,2
2292817,Lenglet,Clément Lenglet,Defender,TOT,1,0,0,0,0
2292817,Sessegnon (Ryan),Kouassi Ryan Sessegnon,Defender,TOT,2,0,0,2,2
2292817,Bentancur,Rodrigo Bentancur,Midfielder,TOT,2,0,1,10,4
2292817,Romero,Cristian Romero,Defender,TOT,2,0,1,7,0
2292817,Bissouma,Yves Bissouma,Midfielder,TOT,0,1,0,0,1
2292817,Emerson Royal,Emerson Aparecido Leite de Souza Junior,Defender,TOT,2,1,0,6,1
2292817,Kulusevski,Dejan Kulusevski,Midfielder,TOT,0,0,0,8,0
2292818,Lallana,Adam Lallana,Midfielder,BHA,1,0,1,4,0
2292818,Welbeck,Danny Welbeck,Forward,BHA,0,0,1,3,2
2292818,Groß,Pascal Groß,Midfielder,BHA,1,0,0,4,0
2292818,Dunk,Lewis Dunk,Defender,BHA,5,1,0,4,0
2292818,March,Solomon March,Midfielder,BHA,3,1,0,6,0
2292818,Webster (Adam),Adam Webster,Defender,BHA,3,1,1,4,1
2292818,Veltman,Joël Veltman,Defender,BHA,6,2,3,6,2
2292818,Trossard,Leandro Trossard,Midfielder,BHA,0,0,1,7,0
2292818,Sanchez,Robert Sanchez,Goalkeeper,BHA,1,0,0,6,0
2292818,Lamptey,Tariq Lamptey,Defender,BHA,0,0,0,0,0
2292818,Mac Allister,Alexis Mac Allister,Midfielder,BHA,0,1,2,9,1
2292818,Mwepu,Enock Mwepu,Midfielder,BHA,0,1,0,2,1
2292818,Undav,Deniz Undav,Forward,BHA,0,0,0,0,0
2292818,Colwill,Levi Colwill,Defender,BHA,0,0,0,0,0
2292818,Moises Caicedo,Moises Caicedo,Midfielder,BHA,3,0,3,9,2
2292818,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,Forward,MUN,1,0,0,0,0
2292818,De Gea,David De Gea,Goalkeeper,MUN,0,0,0,4,0
2292818,Eriksen,Christian Eriksen,Midfielder,MUN,1,1,0,8,2
2292818,Maguire,Harry Maguire,Defender,MUN,2,1,4,9,1
2292818,Fred,Frederico Rodrigues de Paula Santos,Midfielder,MUN,1,0,2,4,0
2292818,Shaw,Luke Shaw,Defender,MUN,0,0,2,5,2
2292818,Bruno Fernandes,Bruno Miguel Borges Fernandes,Midfielder,MUN,0,0,0,4,0
2292818,Rashford,Marcus Rashford,Midfielder,MUN,0,0,1,0,0
2292818,van de Beek,Donny van de Beek,Midfielder,MUN,0,0,0,1,0
2292818,McTominay,Scott McTominay,Midfielder,MUN,0,0,2,5,0
2292818,Sancho,Jadon Sancho,Midfielder,MUN,0,0,0,2,0
2292818,Dalot,José Diogo Dalot Teixeira,Defender,MUN,1,0,3,5,1
2292818,Martínez,Lisandro Martínez,Defender,MUN,4,2,1,15,0
2292818,Malacia,Tyrell Malacia,Defender,MUN,0,0,0,0,2
2292818,Elanga,Anthony Elanga,Midfielder,MUN,0,0,0,0,0
2292818,Garnacho,Alejandro Garnacho Ferreyra,Midfielder,MUN,0,0,0,0,0
2292819,Walker,Kyle Walker,Defender,MCI,1,0,0,4,0
2292819,Gundogan,Ilkay Gundogan,Midfielder,MCI,0,0,0,4,0
2292819,De Bruyne,Kevin De Bruyne,Midfielder,MCI,1,0,0,4,0
2292819,Mahrez,Riyad Mahrez,Midfielder,MCI,0,0,0,0,0
2292819,Grealish,Jack Grealish,Midfielder,MCI,0,0,0,6,0
2292819,João Cancelo,João Pedro Cavaco Cancelo,Defender,MCI,0,0,1,8,1
2292819,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,0,0,0,7,0
2292819,Aké,Nathan Aké,Defender,MCI,2,2,1,4,0
2292819,Phillips (Kalvin),Kalvin Phillips,Midfielder,MCI,0,0,0,2,0
2292819,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,Midfielder,MCI,0,0,0,0,1
2292819,Rúben Dias,Rúben Santos Gato Alves Dias,Defender,MCI,5,0,0,1,0
2292819,Foden,Phil Foden,Midfielder,MCI,0,0,0,4,1
2292819,Rodri,Rodrigo Hernández Cascante,Midfielder,MCI,1,1,1,7,1
2292819,Haaland,Erling Haaland,Forward,MCI,0,0,0,1,0
2292819,Palmer,Cole Palmer,Midfielder,MCI,0,0,0,0,0
2292819,Álvarez,Julián Álvarez,Forward,MCI,0,0,0,0,0
2292819,Fabianski,Lukasz Fabianski,Goalkeeper,WHU,1,0,0,4,0
2292819,Cresswell (Aaron),Aaron Cresswell,Defender,WHU,4,0,2,5,1
2292819,Antonio,Michail Antonio,Forward,WHU,0,0,0,0,0
2292819,Areola,Alphonse Areola,Goalkeeper,WHU,0,0,0,1,0
2292819,Lanzini,Manuel Lanzini,Midfielder,WHU,0,0,0,3,0
2292819,Zouma,Kurt Zouma,Defender,WHU,2,1,1,1,0
2292819,Coufal,Vladimir Coufal,Defender,WHU,1,0,3,3,1
2292819,Benrahma,Said Benrahma,Midfielder,WHU,0,0,0,0,0
2292819,Bowen,Jarrod Bowen,Midfielder,WHU,0,1,2,3,0
2292819,Scamacca,Gianluca Scamacca,Forward,WHU,0,0,0,2,0
2292819,Rice,Declan Rice,Midfielder,WHU,0,1,0,7,3
2292819,Soucek,Tomas Soucek,Midfielder,WHU,2,0,1,6,1
2292819,Fornals,Pablo Fornals,Midfielder,WHU,0,0,2,6,0
2292819,Downes,Flynn Downes,Midfielder,WHU,0,0,0,0,0
2292819,Coventry,Conor Coventry,Midfielder,WHU,0,0,0,0,0
2292819,Johnson (Ben),Ben Johnson,Defender,WHU,6,1,0,3,0
2292820,Xhaka,Granit Xhaka,Midfielder,ARS,1,0,0,2,0
2292820,Partey,Thomas Partey,Midfielder,ARS,0,0,2,5,1
2292820,Odegaard,Martin Odegaard,Midfielder,ARS,0,0,0,10,1
2292820,Tierney,Kieran Tierney,Defender,ARS,0,0,0,1,0
2292820,White (Ben),Ben White,Defender,ARS,2,1,1,1,0
2292820,Eddie Nketiah,Edward Nketiah,Forward,ARS,0,0,0,0,0
2292820,Jesus,Gabriel Fernando de Jesus,Forward,ARS,0,0,0,1,0
2292820,Zinchenko,Oleksandr Zinchenko,Defender,ARS,1,0,2,6,0
2292820,Smith-Rowe,Emile Smith-Rowe,Midfielder,ARS,0,0,0,1,1
2292820,Saka,Bukayo Saka,Midfielder,ARS,0,0,0,4,1
2292820,Tomiyasu,Takehiro Tomiyasu,Defender,ARS,0,0,0,1,0
2292820,Ramsdale,Aaron Ramsdale,Goalkeeper,ARS,1,0,0,7,0
2292820,Gabriel Magalhães,Gabriel dos Santos Magalhães,Defender,ARS,1,0,0,5,2
2292820,Martinelli,Gabriel Teodoro Martinelli Silva,Midfielder,ARS,0,0,1,3,0
2292820,Saliba,William Saliba,Defender,ARS,5,0,2,10,0
2292820,Evans,Jonny Evans,Defender,LEI,3,0,0,2,0
2292820,Ward (Danny),Danny Ward,Goalkeeper,LEI,1,0,0,5,0
2292820,Vardy,Jamie Vardy,Forward,LEI,2,0,0,1,0
2292820,Praet,Dennis Praet,Midfielder,LEI,0,0,0,4,0
2292820,Amartey,Daniel Amartey,Defender,LEI,1,1,0,5,1
2292820,Castagne,Timothy Castagne,Defender,LEI,2,0,1,7,1
2292820,Tielemans,Youri Tielemans,Midfielder,LEI,0,0,0,3,0
2292820,Maddison,James Maddison,Midfielder,LEI,0,0,0,2,0
2292820,Iheanacho,Kelechi Iheanacho,Forward,LEI,0,0,0,0,0
2292820,Ndidi,Onyinye Wilfred Ndidi,Midfielder,LEI,2,0,0,6,3
2292820,Dewsbury-Hall,Kiernan Dewsbury-Hall,Midfielder,LEI,0,0,2,4,0
2292820,Justin,James Justin,Defender,LEI,2,1,0,5,0
2292820,Daka,Patson Daka,Forward,LEI,1,1,1,0,1
2292820,Fofana (Wesley),Wesley Fofana,Defender,LEI,2,1,4,4,1
2292821,Young (Ashley),Ashley Young,Defender,AVL,0,0,0,0,0
2292821,Coutinho,Philippe Coutinho,Midfielder,AVL,0,0,0,6,1
2292821,Ings,Danny Ings,Forward,AVL,1,0,0,2,0
2292821,Martinez,Emiliano Martinez,Goalkeeper,AVL,1,0,0,8,0
2292821,Chambers (Calum),Calum Chambers,Defender,AVL,0,2,0,0,0
2292821,Digne,Lucas Digne,Defender,AVL,3,0,2,1,1
2292821,McGinn,John McGinn,Midfielder,AVL,0,1,2,9,1
2292821,Mings,Tyrone Mings,Defender,AVL,6,0,2,3,0
2292821,Diego Carlos,Diego Carlos Santos Silva,Defender,AVL,1,2,1,6,0
2292821,Watkins,Ollie Watkins,Forward,AVL,0,0,0,3,1
2292821,Buendía,Emiliano Buendía,Midfielder,AVL,0,0,0,2,0
2292821,Cash,Matthew Cash,Defender,AVL,1,1,2,2,2
2292821,Konsa Ngoyo,Ezri Konsa Ngoyo,Defender,AVL,0,0,0,0,0
2292821,Bailey,Leon Bailey,Midfielder,AVL,0,0,0,0,0
